"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"CAPACIDADE DE LUGARES";"LINGUAS"
GARTEN BISTRO RESTAURANTE E LANCHONETE LTDA - ME;GARTEN  BISTRÕ;"04.282.046/0001-00";Sociedade Empresária;"03/05/2001";Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Similar;90.610.001;RS;Porto Alegre;Azenha;AV IPIRANGA 6681  PREDIO 6 ;(51) 3336-6078;;lanchonete40@terra.com.br;;;"23.036606.15.0001-3";"5611-2/03-BAR SEM SERVIÇO COMPLETO (Primário)";50;Espanhol ,Inglês
JR COSTELAO DO GAUCHO BAR E RESTAURANTE LTDA ME;COSTELÃO DO GAUCHO;"12.578.017/0001-00";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;74.830.065;GO;Goiânia;Jardim das Esmeraldas;AV QUARTA RADIAL N 735 QD 04 LT 17 E 18;(62) 3932-4254;(62) 4006-5353;jorgimjf@hotmail.com;;;"09.049977.15.0001-8";"5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";100;Nenhuma das Opções
TURISMO SERRA DA MESA G.ESTANCIA PARK HOTEL;POUSADA GERMANO;"04.486.273/0001-49";Microempreendedor Individual (MEI);"01/06/2001";Mei;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;76.420.000;GO;Niquelândia;Niquelândia;FAZENDA INDAIA S/N                                          ;(62) 3354-5500;;mega.contabil33@gmail.com;;WWW.POUSADAGERMANO.COM.BR;"09.031004.15.0001-2";"5510-8/01-HOTEL (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";30;Nenhuma das Opções
MILTON LIMA LEONE - ME;RESTAURANTE E LANCHONETE CARNE DE SOL;"84.303.049/0001-03";Empresa Individual (EIRELI);;Empresa de Pequeno Porte;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;69.923.000;AC;Bujari;Bujari;BR 364 KM. 28 - S/Nº;(68) 3231-1010;(68) 9228-3555;simoneleone71@gmail.com;;;"01.061947.15.0001-5";"5611-2/01-A PESO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Primário)";80;Espanhol
JACIRA APARECIDA DA SILVA 30850145864;ROCA CHIC RESTAURANTE E HAMBURGUERIA;"26.703.294/0001-01";Microempreendedor Individual (MEI);;Mei;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;12.490.000;SP;São Bento do Sapucaí;São Bento do Sapucaí;R PINTORA ADELAIDE DE AZEVEDO MELLO, 306;(12) 9651-2984;;jacira212016@gmail.com;;;"26.083822.15.0001-8";"5611-2/01-RESTAURANTE COM SERVIÇO COMPLETO
 (Primário)";60;Nenhuma das Opções
MARTINS & GONÇALVES LTDA - ME;DELICIAS DO TRIGO;"11.481.836/0001-71";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Cafeteria;79.720.000;MS;Jateí;Jateí;AV. WEIMAR GONÇALVES TORRES, 234, CENTRO;(67) 3465-1049;(67) 3467-5125;eduamp@gmail.com;;;"12.057785.15.0001-1";"5611-2/03-SORVETERIA; SERVIÇO DE ALIMENTAÇÃO (Secundário), 5611-2/01-PIZZARIA COM SERVIÇO COMPLETO; SERVIÇO DE ALIMENTAÇÃO (Secundário), 5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Secundário)";100;Nenhuma das Opções
SUSHI FOOD SERVICE LTDA -ME;MAX SUSHI;"12.288.871/0001-31";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;74.230.035;GO;Goiânia;Setor Bueno;AV. T4 N,1478 Q,169A LOTE 01E LOJA 04  SETOR BUENO                 ;(62) 3932-2941;;r.varelarevoredo@gmail.com;jrr2000@terra.com.br;maxsushi.com.br;"09.077301.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";90;Japonês ,Inglês
AMV ALIMENTAÇÃO LTDA-ME;BALADA MIX;"26.830.831/0001-84";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;74.180.020;GO;Goiânia;Setor Marista;R 135 95 QD: F47 LT: 62 SETOR  MARISTA;(62) 8533-8585;;amvgoiania@gmail.com;;;"09.085013.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";150;Italiano ,Francês ,Inglês
EMPORIO MINERO LTDA - ME;EMPORIO MINERO LTDA - ME;"01.406.127/0001-78";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;13.820.000;SP;Jaguariúna;Jaguariúna;R ALCIDES DE O GERMANO, 494;(19) 3937-6292;;minerojaguariuna@gmail.com;;;"26.082603.15.0001-7";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";80;Nenhuma das Opções
ROMILDO DO CARDOSO DA SILVA &CIALTDA - ME;LANCHONETE E RESTAURANTE BEIRUTHS REGIONAL;"07.473.348/0001-45";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;37.550.000;MG;Pouso Alegre;Pouso Alegre;RUA COMENDADOR JOSE GARCIA  800;(35) 3422-1428;;beirutuspa@gmail.com;;;"11.085934.15.0001-3";"5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Secundário)";20;Nenhuma das Opções
GUIMARÃES & GUIMARÃES LTDA;SUPER PIZZA;"12.845.442/0001-18";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;57.035.180;AL;Maceió;Ponta Verde;AV. ÁLVAORO OTACÍLIO Nº 3195 LOJAS 7 E 8 ;(82) 3231-1999;;breno-gama@uol.com;leooldogama@uol.com;www.superpizza.com.br;"02.084723.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";200;Nenhuma das Opções
ELISANGELA PINTO TORRES  EIRELI - ME;RESTAURANTE E LANCHONETE  DOM BOSCO;"21.878.386/0001-09";Empresa Individual (EIRELI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;69.800.000;AM;Humaitá;Humaitá;ROD  BR 230 S/Nº KM 25 - BAIRRO  SAO PEDRO;(97) 98113-0378;;elistorres@live.com;;;"03.086242.15.0001-4";"5611-2/01-A PESO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Secundário)";100;Nenhuma das Opções
TANI PIZZARIA LTDA - ME;SAN MARINO PIZZAS;"05.850.718/0001-90";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;79.290.000;MS;Bonito;Bonito;RUA LUIZ COSTA LEITE Nº 1543 - CENTRO;(67) 3255-2656;(67) 3255-1004;exata@bonitonline.com.br;;;"12.053619.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";120;Nenhuma das Opções
M.CARLOTA DA SILVA;RESTAURANTE DO CHEFÃO;"12.979.426/0001-18";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;69.918.414;AC;Rio Branco;CONJUNTO MANOEL JULIÃO;RUA AURELIANO LOPES-574.;(68) 3227-8466;(68) 9975-7229;humbertovp2@hotmail.com;;;"01.060916.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";96;Nenhuma das Opções
DORALICE HENRIQUE DE CARVALHO PIRES - ME;CENTRAL LANCHES E PIZARIA II;"07.046.301/0001-03";Microempreendedor Individual (MEI);;Mei;Em Operação;Restaurantes, Cafeterias e Bares;Bar;75.940.000;GO;Edéia;Edéia;AV DOM PEDRO II SN QD. 32 LT 01 CENTRO;(64) 3492-1028;;contato@inovaocontabilidade.net.br;;;"09.075699.15.0001-1";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";80;Nenhuma das Opções
ROMA EMPREENDIMENTOS E TURISMO LTDA.;THERMAS DIROMA HOTEL;"03.465.317/0001-91";Sociedade Empresária;"06/10/1986";Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;75.690.000;GO;Caldas Novas;Caldas Novas;RUA SÃO CRISTOVÃO N 1.110 BAIRRO SOLAR DE CALDAS;(64) 3455-9393;(64) 3453-1945;reservas@diroma.com.br;;www.diroma.com.br;"09.017904.15.0001-1";"5510-8/01-HOTEL (Primário), 9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Secundário), 7912-1/00-OPERAÇÕES DE VIAGEM; SERVIÇOS DE (Secundário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";200;
MARIA DO SOCORRO LOPES SAMPAIO - ME;HOTEL AKHETATON - O ALEMÃO;"06.973.072/0001-00";Empresário Individual (Não MEI);;Empresa de Pequeno Porte;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;62.764.000;CE;Mulungu;Mulungu;CHAPADÃO DO LAMEIRÃO, S/N - ZONA RURAL;(85) 99645-5666;;paulo.c.p.meireles@gmail.com;;;"06.088162.15.0001-6";"5510-8/01-HOTEL (Primário), 5611-2/01-SELF-SERVICE; SERVIÇO DE ALIMENTAÇÃO (Secundário)";30;Nenhuma das Opções
ANGELA FAGAN - ME;ANGELA FAGAN - ME;"26.043.015/0001-20";Empresário Individual (Não MEI);;Empresa de Pequeno Porte;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;13.700.000;SP;Casa Branca;Casa Branca;"AV DA ESTACAO;  S/N - CHACARA SAO SEBASTIAO";(19) 9826-3126;;marlisaobento@hotmail.com;;;"26.083070.15.0001-1";"5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Secundário)";200;Nenhuma das Opções
THSHOTEIS LTDA - EPP;THS HOTEIS;"07.906.040/0001-46";Sociedade Empresária;"01/06/2006";Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;74.110.090;GO;Goiânia;Setor Oeste;RUA 07 N° 1.123  QD.E-7  LT.76;(62) 4012-1314;(62) 4012-1311;financeiro@tamandareplaza.com.br;;WWW.TAMANDAREPLAZA.COM.BR;"09.010593.15.0001-8";"5510-8/01-HOTEL (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";0;Espanhol ,Inglês
RILDO CHAGAS DE ANDRADE -25595660287;RESTAURANTE INCONFUNDÍVEL;"17.938.363/0001-75";Microempreendedor Individual (MEI);;Mei;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;68.200.000;PA;Alenquer;Alenquer;RUA VISCONDE DE RIO BRANCO;(93) 99173-5671;;morena_melo2016@outlook.com;;;"14.089509.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";60;Nenhuma das Opções
APRAZIVEL SABOR LTDA;RESTAURANTE APRAZIVEL;"01.778.978/0001-41";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;20.241.270;RJ;Rio de Janeiro;Santa Teresa;RUA APRAZIVEL,Nº 62;(21) 2508-9174;;arazivel@aprazivel.com.br;;www.aprazivel.com.br;"19.040131.15.0001-5";"5611-2/01-ROTISSERIA; SERVIÇO DE ALIMENTAÇÃO (Primário)";325;Espanhol ,Francês ,Inglês
A.B BENETTI & CIA LTDA-ME;COSTELARIA FOGO NA BRASA;"02.591.246/0001-00";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Bar;74.672.685;GO;Goiânia;Santa Genoveva;AV SUCURI 2027 QD: 131 LT:73 BAIRRO SANTA GENOVEVA ;(62) 3092-7852;;damatacontabilidade@gmail.com;;;"09.076009.15.0001-6";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";30;Espanhol
JOSE RIBEIRO TEIXEIRA ME;TUNNEL PIZZARIA;"25.424.722/0001-02";Sociedade Simples;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;39.803.006;MG;Teófilo Otoni;São Diogo;RUA AUGUSTO MARX, 50 ;(33) 98861-1759;(33) 3521-6139;tunnelpizzaria@terra.com.br;;;"11.082217.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";150;Nenhuma das Opções
JOSE MOACIR DE ALMEIDA - ME;KAIOBANAS SURF BAR E BOATE;"19.633.390/0001-65";Microempreendedor Individual (MEI);;Mei;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;88.715.000;SC;Jaguaruna;Jaguaruna;RUA AMAZONAS, 582;(48) 99919-4120;;kikoalmeida48@gmail.com;;;"24.088817.15.0001-7";"5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Primário), 5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário), 9001-9/06-ATIVIDADES DE SONORIZAÇÃO E ILUMINAÇÃO (Secundário)";150;Espanhol
F R S LEMOS ALIMENTAÇÕES - ME;F R S LEMOS ALIMENTAÇÕES - ME;"24.765.861/0001-29";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;65.590.000;MA;Barreirinhas;Barreirinhas;AVENIDA RODOVIARIA, 100 - CIDADE NOVA;(98) 99197-5374;;fabioreislemos4@gmail.com;;;"10.078966.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";60;Nenhuma das Opções
RESTAURANTE GEA REINERT LTDA - ME;RESTAURANTE PWIEDADE;"10.771.331/0001-89";Sociedade Empresária;"02/04/2009";Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;89.460.000;SC;Canoinhas;Canoinhas;ROD BR 280, 6680;(47) 3622-0585;;pwiedade@yahoo.com.br;;;"24.036969.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";48;Nenhuma das Opções
MARIA ELOISA DE OLIVEIRA - ME;FRUTOS DE GOIAS TRILHAS DO PANTANAL;"19.582.416/0001-93";Empresário Individual (Não MEI);"05/07/2007";Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Similar;78.820.000;MT;Jaciara;Jaciara;RUA POTIGUARAS, 911, CENTRO;(66) 99935-1922;(66) 98119-7991;memphisvaloliveira@gmail.com;;;"13.084027.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Secundário), 5510-8/01-HOTEL (Secundário)";100;Nenhuma das Opções
CAFÉ DAS MONTANHAS LTDA ME;CAFÉ DAS MONTANHAS;"05.391.736/0001-51";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;29.255.000;ES;Marechal Floriano;Marechal Floriano;RODOVIA BR 262  KM 58,5 S/N - TREVO SANTA MARIA;(27) 3288-3176;;postocafe@krohling.com.br;;;"08.038059.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";160;Nenhuma das Opções
OLINDA SILVA DE MATOS NETA 8250511082;OLINDA SILVA DE MATOS NETA 8250511082;"12.118.935/0001-56";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;73.970.000;GO;Mambaí;Mambaí;AVENIDA BRASIL CENTRAL, QUADRA 07, LOTE 04 NOVO MAMBAI;(62) 9999-4201;;dt-mbi@hotmail.com;;;"09.080487.15.0001-0";"5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Primário)";100;Nenhuma das Opções
CASA BLANCA RESTAURANTE LTDA - ME;CASA BLANCA RESTAURANTE;"09.520.329/0001-58";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;74.672.010;GO;Goiânia;Santa Genoveva;AV. SÃO FRANCISCO Nº 313 QD. 34 LT. 35 SETOR SANTA GENOVEVA;(62) 3233-1292;;casablancarestaurantemtgo@gmail.com;;;"09.075265.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";140;Nenhuma das Opções
RESTAURANTE E BAR PETISQUEIRA KRASSOKI - EIRELI - ME;BAR PETISQUEIRA DO POLACO;"15.424.038/0001-69";Empresa Individual (EIRELI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;30.112.010;MG;Belo Horizonte;Funcionários;RUA ANTÔNIO DE ALBUQUERQUE, 53 - 51/55;(31) 3223-7924;;ascristo1971@gmail.com;;;"11.076598.15.0001-0";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";60;Nenhuma das Opções
SHERON NICKERSON MAC GINITY - EIRELI - ME;CASA DO PÃO DE QUEIJO ;"23.584.363/0001-17";Empresa Individual (EIRELI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Cafeteria;70.308.200;DF;Brasília;Asa Sul;ST SCS QD. 09 BLOCO A LOJA 17 ED. PARQUE CIDADE CORPORATE ;(61) 3251-5100;;fortecon.contabilidade@gmail.com;;;"07.078066.15.0001-8";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";30;Espanhol ,Inglês
R. M. GONCALVES - ME;RESTAURANTE SABOR DE MARAGOGI;"13.843.421/0001-26";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;57.955.000;AL;Maragogi;Maragogi;R SITIO PEROBA 40;(82) 3296-1506;;leidegoncalves@hotmail.com;;;"02.088379.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";250;
LUCINDA FERREIRA FRANCA ME - ME;AVENIDA LANCHONETE E RESTAURANTE;"17.089.360/0001-04";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;78.460.000;MT;Nobres;Nobres;AV VALDÃO VARJÃO, 244, CENTRO;(65) 3376-2703;(65) 9965-0317;gracynbs_@hotmail.com;;;"13.073952.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";50;Nenhuma das Opções
EQUILIBRIO ADMINISTRAÇÃO E SERVIÇOS HOTELEIROS LTD;EQUILIBRIO ADMINISTRAÇÃO E SERVIÇOS HOTELEIROS;"13.430.197/0001-40";Sociedade Empresária;"01/02/2007";Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;75.695.000;GO;Rio Quente;Rio Quente;RUA:RIO DE JANEIRO QD.12A AREA 1 SN;(64) 3452-1617;(64) 3454-7535;veredas.flat@gmail.com;;WWW.GOLDENDOLPHIN.COM.BR;"09.047131.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Secundário), 5510-8/01-HOTEL (Secundário)";100;Nenhuma das Opções
ITACOLOMI COMÉRCIO LTDA-ME;ITA CONVENIENCIA;"34.602.904/0001-09";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Similar;68.600.000;PA;Bragança;Bragança;RODOVIA BRAGANÇA/CAPANEMA KM 0 S/N ANEL V DE BRAGANÇA;(91) 3425-2513;;pattymel29@gmail.com;;;"14.088427.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Secundário)";400;Nenhuma das Opções
OTÍLIA COSTA DE ALBUQUERQUE- ME;RESTAURANTE BALNEÁRIO PARAISO CARDOSO;"10.210.128/0001-33";Empresa Individual (EIRELI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;69.960.000;AC;Feijó;Feijó;RODOVIA BR.364 - KM.5 - Nº 5.502- SENTIDO TARAUACÁ;(68) 9949-6151;;paraisocardoso2013@gmail.com;;;"01.063591.15.0001-0";"5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Primário)";100;Nenhuma das Opções
